Company;Total games;Published games;Avg owners...4;Developed games;Avg owners...6
Explosm;2,000;0;0;1;150000
Explosm Games;1,000;0;0;1;350000
Expo Virtualis;1,000;1;10000;1;10000
Expone;1,000;1;10000;0;0
Exponent Foundation;1,000;0;0;0;0
Exponential Games Inc.;6,000;1;10000;1;10000
Expotato Corp.;2,000;1;10000;1;10000
Expovision;3,000;1;10000;1;10000
Expressive Gamestudio;1,000;0;0;1;10000
Expresso Studios;7,000;3;10000;4;10000
EXPVR Inc.;2,000;1;10000;1;10000
Exquisite Game;2,000;0;0;0;0
Exquisite Games;4,000;3;35000;3;35000
Exquisite Trash Club;1,000;1;10000;1;10000
ExrtionGame;1,000;0;0;0;0
Exscape;3,000;3;10000;3;10000
ExSize;1,000;1;10000;1;10000
Exsom;2,000;2;10000;2;10000
Extarzz Team;1,000;0;0;0;0
eXtasy Games;2,000;0;0;0;0
ExteerStudio;1,000;1;10000;1;10000
Extela Games;1,000;1;10000;1;10000
Extend Mode;4,000;2;10000;2;10000
Extend Robotics;1,000;0;0;0;0
Extend Studio;7,000;1;75000;3;35000
Extent5;1,000;0;0;0;0
ExternityGames;1,000;0;0;0;0
Extinct Angel;1,000;0;0;1;35000
Extinction Studios;1,000;0;0;0;0
ExtinctionArts;2,000;2;10000;2;10000
Extra Dimension;7,000;1;10000;1;10000
Extra life Entertaiment;2,000;1;10000;1;10000
Extra Life Entertainment;1,000;0;0;0;0
Extra Mile Studios;1,000;1;10000;0;0
Extra Nice;5,000;1;35000;1;35000
Extra Small;2,000;0;0;0;0
extra7one;1,000;0;0;0;0
ExtraCosmic Studios;1,000;1;10000;1;10000
extrafantasygames;1,000;0;0;0;0
Extraneous Games;1,000;0;0;0;0
Extraordinary games;2,000;0;0;0;0
Extrapolated;1,000;1;10000;1;10000
ExtraSaucySauce;1,000;1;10000;1;10000
Extraterrestrial Studios;1,000;0;0;0;0
EXTREME;2,000;0;0;1;35000
Extreme Developers;5,000;1;35000;2;35000
Extreme Games;5,000;5;0;0;0
eXtreme Studios;2,000;1;10000;1;10000
ExtremeAverage;2,000;0;0;0;0
Extremely OK Games, Ltd.;4,000;0;0;2;1500000
Extremely Sour Games;1,000;0;0;0;0
EXTREMESOFT;1,000;0;0;1;10000
Extrokold Games;2,000;2;75000;2;75000
exwalt;1,000;0;0;0;0
Exxes Games;1,000;1;10000;1;10000
Exxit;1,000;1;10000;1;10000
EY;1,000;0;0;0;0
EY Games;2,000;1;10000;1;10000
EY-Studio;3,000;2;75000;2;75000
Eya Soft;2,000;0;0;0;0
Eyal Dorn;1,000;0;0;0;0
Eyal Hazor;2,000;1;10000;1;10000
Eyal Hazor (Wormius51);1,000;0;0;0;0
Eyaura;3,000;0;0;1;35000
Eye Blink Twice;1,000;0;0;0;0
Eyeball2D;1,000;0;0;1;10000
Eyebrow Interactive;2,000;2;150000;2;150000
EyeContact Games;3,000;1;10000;1;10000
Eyedentity Games Inc.;1,000;1;750000;1;750000
Eyedrop;1,000;1;10000;0;0
Eyefly;2,000;0;0;0;0
EYEFRONT;46,000;3;35000;3;35000
Eyeguys;6,000;0;0;2;10000
EYEJAM STUDIOS;3,000;3;10000;3;10000
Eyemobi Ltd.;1,000;1;35000;1;35000
Eyesberg Game;1,000;1;10000;1;10000
EyeSpyda Games;1,000;1;35000;1;35000
Eyeware Tech SA;2,000;1;10000;1;10000
Eyexapp;1,000;1;10000;0;0
Eyexapp Creative;1,000;0;0;1;10000
Eyexapp Play;2,000;0;0;2;35000
EyeZary Games;1,000;1;10000;1;10000
Eylen Games;1,000;0;0;0;0
Eylon Tabak;1,000;0;0;0;0
Eylül;2,000;0;0;0;0
Eyraud Software;1,000;1;10000;1;10000
Eyrie Interactive;1,000;0;0;0;0
Eyüp Korkmaz;1,000;0;0;0;0
EZ MASTER;1,000;0;0;0;0
EZ360;1,000;0;0;0;0
Ezalbot;2,000;2;10000;2;10000
Ezbench Solutions AS;1,000;0;0;0;0
EZDesigner;1,000;1;10000;1;10000
EZECUS;1,000;0;0;0;0
Ezekiel Rage;2,000;0;0;0;0
Ezen Studio;1,000;1;10000;1;10000
Ezequiel Claverie;1,000;0;0;0;0
Ezero Studios;2,000;2;10000;0;0
EzeyStudio;2,000;0;0;1;10000
EZGP Team;2,000;1;10000;1;10000
Ezhaac Studio;1,000;0;0;1;35000
EZOGORO;1,000;0;0;0;0
Ezone PTY LTD;9,000;3;10000;3;10000
Ezorisudo;1,000;1;10000;1;10000
EZSD;1,000;0;0;1;10000
EZVR;1,000;1;10000;1;10000
Ezzat Studios;1,000;1;10000;1;10000
F chord 繁弦;1,000;1;10000;1;10000
F Studio;1,000;1;10000;1;10000
F&C;2,000;0;0;0;0
F-Games;20,000;0;0;5;10000
F-Greetings;2,000;0;0;1;10000
F.A.P. time;1,000;1;10000;1;10000
F.A.R Game Studios Ltd.;1,000;0;0;0;0
F.F.S. Video Games Limited;1,000;0;0;0;0
F.G.I.;1,000;0;0;1;10000
F.L.O.G.;1,000;1;10000;1;10000
F.SDRI;3,000;1;10000;1;10000
F.U.U.M. Co., Ltd.;5,000;1;10000;1;10000
f.y.g.b Studios;1,000;0;0;0;0
f.y.g.b. Studios;6,000;3;35000;0;0
f0kes;1,000;0;0;0;0
F0lak;1,000;1;10000;1;10000
F191;1,000;1;10000;1;10000
f1r1f0 Games;7,000;0;0;0;0
F2House;3,000;2;75000;1;10000
F4DE;1,000;1;10000;1;10000
F4NGARANG Studios;1,000;1;10000;0;0
F5 Games;1,000;0;0;0;0
F8tality games;3,000;2;10000;2;10000
Faaq;1,000;1;10000;0;0
Fabagame;1,000;1;10000;1;10000
Faber Courtial;1,000;0;0;0;0
Faber Interactive;1,000;1;35000;1;35000
FaberLudum;2,000;1;10000;0;0
Fabian Esteban;1,000;1;35000;1;35000
Fabian Jarrett;1,000;1;35000;1;35000
Fabian Kopetzky;2,000;0;0;0;0
Fabian Pottbäcker;1,000;0;0;1;10000
Fabian Rosskopf;1,000;0;0;1;35000
Fabian Tkaczuk;1,000;0;0;1;35000
Fabian Velander;1,000;0;0;0;0
Fabian.L;1,000;0;0;1;10000
fabian@ColoryVR;1,000;0;0;1;10000
Fabiana Cecin;1,000;0;0;1;150000
Fabiano Naspolini;2,000;1;35000;1;35000
Fabiano Sousa;1,000;0;0;0;0
FabiClawZ;1,000;0;0;0;0
Fabien Corblin;2,000;0;0;0;0
Fabien NAIMON;1,000;0;0;0;0
Fabien Quibreteau;1,000;0;0;1;10000
Fabien Spiess (Sogaki);1,000;0;0;1;10000
Fabien Weibel;2,000;1;10000;1;10000
fabiensanglard;1,000;0;0;0;0
Fabio Adamo;1,000;0;0;0;0
Fabio Beifuss;1,000;0;0;0;0
Fabio Belardi;1,000;1;10000;1;10000
Fabio Biancarelli;1,000;1;10000;1;10000
Fabio Cardini;1,000;1;10000;1;10000
Fabio Cecchini;4,000;2;10000;2;10000
Fabio Consorti;1,000;0;0;0;0
Fabio Cunha;2,000;0;0;0;0
Fabio F Martins;1,000;0;0;0;0
Fabio Ferrara;21,000;0;0;12;590000
Fábio Fontes;4,000;1;75000;1;75000
Fabio Fortino;2,000;0;0;2;35000
Fabio G Thomas;1,000;0;0;1;10000
Fabio Giamé;1,000;0;0;0;0
Fabio Mosca;2,000;0;0;0;0
FabioPDJ;1,000;1;35000;1;35000
Fabiulous Games;5,000;1;10000;1;10000
Fabled Forge Games LLC;1,000;0;0;0;0
Fabled Frontier;1,000;0;0;0;0
Fabled Game;4,000;1;35000;1;35000
FABLEGIMPS;1,000;0;0;0;0
Fables of Laetus;2,000;2;10000;1;10000
Fablesoft Studios;1,000;1;10000;1;10000
FableTree Productions;1,000;0;0;0;0
Fableware;2,000;0;0;1;75000
Fableware Narrative Design;1,000;0;0;0;0
Fabloo Games;2,000;0;0;0;0
fabolous_lux;2,000;1;10000;1;10000
Fabraz;11,000;1;10000;8;10000
Fabregas;1,000;1;10000;0;0
Fabricated Reality Software;1,000;1;10000;1;10000
Fabrice BIZEC;1,000;1;10000;1;10000
Fabrice Martinez;1,000;0;0;0;0
Fabrice Roisné-Hamelin;1,000;0;0;1;10000
Fabricio Godos;1,000;0;0;1;10000
Fabrik Games Ltd;1,000;1;10000;1;10000
Fabrizio Darby;1,000;0;0;0;0
Fabrizio Spadaro;2,000;0;0;0;0
Fabsquare;1,000;0;0;1;10000
Fabula;2,000;0;0;0;0
FABULA EPICA;1,000;0;0;0;0
Fabula Game Studio;1,000;0;0;0;0
Fabulous;1,000;1;10000;0;0
Face Art Studio;2,000;0;0;0;0
FaceIT;3,000;0;0;1;10000
Faceless Games;1,000;1;10000;1;10000
Faceless Studios;1,000;1;10000;1;10000
Facepalm Games;1,000;1;750000;0;0
Facepunch Studios;11,000;5;9730000;5;15890000
Facesit Inc. Game Studio;3,000;0;0;0;0
FACO Simulations;1,000;0;0;0;0
Faction 504;2,000;0;0;0;0
FactKys Studios;1,000;0;0;1;10000
Factor 0;1,000;0;0;0;0
Factor 30 Films;1,000;0;0;0;0
Factor 5;1,000;0;0;1;150000
factory;1,000;1;10000;0;0
Factory 64 Games;1,000;1;10000;1;10000
Factory Game;1,000;0;0;1;10000
Factory Play;2,000;1;35000;1;35000
Factory Trashcension;4,000;0;0;0;0
Factus Games;8,000;5;40000;3;35000
Facundo Aviusso;2,000;1;35000;1;35000
Facundo Balboa;1,000;1;10000;1;10000
FAD;2,000;0;0;0;0
Fad Games;1,000;1;10000;1;10000
Fade Away;1,000;1;10000;1;10000
Fadi Beshai;1,000;0;0;0;0
Fading Club;4,000;3;35000;3;35000
Fadorable Games LTD;1,000;0;0;0;0
Fadri Pitsch;1,000;0;0;0;0
Faelune;1,000;0;0;0;0
Faenon;1,000;0;0;1;10000
Faerin Games;6,000;0;0;0;0
Faf Games;1,000;1;10000;1;10000
Faff Games LLC;1,000;0;0;0;0
FAFO Studio;4,000;0;0;0;0
FAHAD;1,000;0;0;0;0
faharn studio;1,000;1;10000;1;10000
Fahrenwald Games;4,000;1;10000;0;0
Fai;1,000;0;0;0;0
FAI GOST SRL;1,000;1;10000;1;10000
Fail State;1,000;0;0;0;0
Failbetter Games;7,000;3;750000;3;750000
Failcore;4,000;1;10000;1;10000
FAILOT GAMES;1,000;0;0;0;0
FailoutGames;6,000;6;30000;6;30000
Fainward;2,000;0;0;0;0
Fair Games;2,000;2;10000;2;10000
Fair Games Studio;12,000;3;10000;7;20000
Fair Pixel LLC;2,000;0;0;1;10000
Fair Play Labs;17,000;0;0;5;130000
Fair Weather Studios, LLC;6,000;4;10000;4;10000
Fairer Games;1,000;0;0;0;0
FairPlay Studios Co. Ltd;4,000;0;0;1;10000
Fairview Games Inc.;1,000;0;0;0;0
FairWhisper;1,000;0;0;0;0
Fairy Forest;3,000;1;35000;1;35000
Fairy Key;1,000;0;0;0;0
Fairy Snail Games;1,000;0;0;0;0
Fairy Studio;1,000;1;10000;1;10000
FairyBunny Studio;1,000;0;0;0;0
FairyGames;2,000;0;0;0;0
FairyPeople;1,000;1;35000;1;35000
Fairyship Games;3,000;1;10000;2;10000
Fairytale Distillery;4,000;1;10000;1;10000
Faisal Albellaihi;1,000;0;0;0;0
Faisal Alhaddad;1,000;1;10000;1;10000
Faith King;1,000;0;0;1;10000
Faithdrawn Studios;1,000;0;0;0;0
Faithy;3,000;2;10000;2;10000
Faizaan Alam;4,000;1;10000;1;10000
Fake Boss;1,000;1;10000;1;10000
Fake Eyes Co., Ltd.;1,000;0;0;0;0
Fake Fox;3,000;2;10000;2;10000
Fake GO;1,000;1;10000;1;10000
FakeBamboo;1,000;1;10000;1;10000
Fakedice;1,000;0;0;1;35000
FakeFish;3,000;0;0;1;1500000
FAKKU;10,000;2;75000;0;0
Fakt Software;22,000;0;0;8;100000
FAKT Software Gmbh;1,000;0;0;1;35000
FAL Works;3,000;1;10000;1;10000
Falcão Caçador;1,000;1;10000;1;10000
Falco;1,000;0;0;0;0
Falco Games;8,000;1;10000;8;30000
Falco Software;29,000;1;10000;25;50000
Falco Software, Cow Game;1,000;0;0;1;10000
Falcon Development;9,000;2;75000;2;75000
Falcon Games;2,000;0;0;0;0
Falcon Games S.A.;1,000;1;10000;0;0
Falcon GameStudio;2,000;1;10000;1;10000
Falcon Interactive;4,000;1;10000;1;10000
Falcon Production;1,000;1;10000;0;0
Falcon Racing Studios;2,000;0;0;0;0
falconcrew;1,000;0;0;1;10000
FalconDev;1,000;1;10000;1;10000
Falcoware;7,000;0;0;7;130000
Falimancy Interactive;1,000;0;0;0;0
Falk Willems;1,000;0;0;0;0
Falkanas;1,000;0;0;0;0
Falkenbrew;4,000;2;10000;2;10000
Falko Jakubikowa - Marek Speck;2,000;0;0;0;0
Falko Michael Kötter;2,000;1;10000;1;10000
Falkrus;2,000;2;10000;2;10000
Fall Damage;2,000;1;10000;1;10000
Fall games;1,000;0;0;0;0
Fallalypse studio;6,000;0;0;6;0
Fallen City Studio;2,000;0;0;0;0
FALLEN EARTH, LLC;1,000;0;0;0;0
Fallen Eros;2,000;0;0;0;0
Fallen Few Studios;1,000;1;10000;1;10000
Fallen Flag Studio;2,000;0;0;1;150000
Fallen Leaf;4,000;0;0;1;150000
Fallen Penguin Studios;1,000;1;35000;1;35000
Fallen Planet Studios;1,000;1;75000;1;75000
Fallen Publishing;1,000;1;35000;0;0
Fallen Snow Studios;2,000;1;35000;1;35000
Fallen Sun Arcade;1,000;0;0;0;0
Fallen Tree Games Ltd;8,000;3;10000;7;90000
FallenMaster;2,000;1;35000;1;35000
Fallenstars' Creations;2,000;1;10000;0;0
fallen_coconut;1,000;0;0;0;0
Falling Ash Games;1,000;1;75000;1;75000
Falling Flames;2,000;0;0;0;0
Falling Light;2,000;0;0;0;0
Falling Ninja Productions;4,000;0;0;4;20000
Falling Phoenix Studios;1,000;0;0;0;0
Falling Raven;1,000;0;0;0;0
Falling Squirrel;1,000;0;0;1;10000
Falling Squirrel Inc.;2,000;1;10000;0;0
Falling Star Games;1,000;0;0;1;75000
Falling Star Studio;2,000;2;35000;2;35000
Falling State Inc.;1,000;0;0;0;0
FallTrand L.W.;1,000;1;35000;1;35000
Falmi;1,000;0;0;0;0
False;1,000;1;10000;0;0
False Crow Studios Ltd;1,000;1;10000;1;10000
False Games LLC;1,000;1;35000;1;35000
False Prophet;1,000;1;75000;1;75000
False Vacuum Games;2,000;1;10000;1;10000
FalseHope Games;1,000;0;0;0;0
Fami;2,000;0;0;1;10000
FAMICON;1,000;0;0;1;10000
Famiku;1,000;1;10000;1;10000
Family Devs;9,000;1;10000;1;10000
Family Friendly Gaming;1,000;0;0;0;0
Family Games Time;1,000;0;0;0;0
Family Nights;1,000;0;0;0;0
familyplay;49,000;46;10000;5;10000
Famished Polar Bear;1,000;0;0;0;0
FaMo4&FaMo5;1,000;0;0;0;0
FaMo9 Studio;1,000;0;0;0;0
Famous Dogg Studios;4,000;2;35000;2;35000
FAMOUS PRODUCTION;1,000;0;0;1;10000
Fan 0f Toast;1,000;0;0;0;0
Fan Fang;1,000;0;0;0;0
Fan-na;2,000;0;0;2;10000
Fan-Ting Tseng;2,000;0;0;1;10000
Fanatic LLC;1,000;1;10000;1;10000
FanaticStudios;1,000;0;0;1;10000
Fanaticus XR;2,000;1;10000;1;10000
Fancing Game Studio;1,000;0;0;0;0
FanCluster;2,000;0;0;0;0
Fancy + Punk;2,000;2;10000;2;10000
Fancy Bear Games;2,000;1;10000;1;10000
Fancy Bytes;1,000;0;0;1;10000
Fancy Bytes, Reactor;6,000;0;0;6;40000
Fancy Cat Studios;1,000;1;10000;1;10000
Fancy Donkey LLC;1,000;1;10000;1;10000
Fancy Factory;3,000;1;10000;1;10000
Fancy Fish Games;20,000;6;20000;6;20000
Fancy Games;1,000;1;3500000;1;3500000
Fancy Pigeon Studios Ltd.;1,000;1;10000;1;10000
Fancy Prawn Games;1,000;0;0;0;0
Fancy Rainbow Productions;2,000;1;10000;0;0
Fancyday;1,000;1;10000;1;10000
FancyFennec;1,000;1;10000;1;10000
Fanfan;1,000;0;0;0;0
FANG;1,000;1;10000;1;10000
Fang's Lab;1,000;1;10000;1;10000
FangRunQiang;1,000;1;35000;2;35000
FangsLab;1,000;1;35000;1;35000
Fangsoft;1,000;1;75000;1;75000
fangun;1,000;0;0;0;0
fangwy;1,000;0;0;0;0
Fanny Pack Studios;2,000;0;0;0;0
FantaBlade Network;3,000;0;0;1;1500000
Fantahorn Studio;2,000;0;0;2;35000
FantaJI Games;2,000;0;0;0;0
Fantasia;2,000;0;0;0;0
Fantasia Malware;1,000;0;0;0;0
Fantasia Studio;9,000;5;20000;5;20000
Fantasista Co.,Ltd;1,000;1;10000;1;10000
Fantasize Games;6,000;0;0;1;150000
Fantasma Collective;1,000;1;10000;1;10000
Fantastic Art Studios;1,000;0;0;0;0
Fantastic Passion;4,000;0;0;1;350000
Fantastic Systems;3,000;0;0;0;0
Fantastic, yes;1,000;1;10000;1;10000
Fantastica!;1,000;0;0;0;0
Fantastico Studio;24,000;8;20000;7;20000
Fantastigo;1,000;1;10000;1;10000
Fantasy Creations;2,000;1;10000;1;10000
Fantasy Crystal工坊;1,000;1;10000;1;10000
Fantasy Earth;1,000;0;0;1;10000
Fantasy Factory;1,000;0;0;0;0
Fantasy Flight Games;15,000;4;150000;5;120000
Fantasy Flight Interactive;6,000;0;0;0;0
Fantasy Flight Publishing, Inc.;2,000;2;35000;1;35000
Fantasy Forge Games;1,000;0;0;0;0
Fantasy Game;2,000;0;0;1;10000
Fantasy Games;1,000;0;0;0;0
Fantasy Island;1,000;1;10000;1;10000
Fantasy Li;1,000;0;0;1;35000
Fantasy Tree;1,000;1;10000;1;10000
Fantasy War Studio;1,000;0;0;0;0
Fantasy-Gaming;1,000;1;10000;1;10000
FantasyMoon Studio;2,000;0;0;0;0
FantaziaMania;3,000;0;0;0;0
Fantogame;1,000;1;10000;1;10000
Fantom Fathom LLC;3,000;2;10000;0;0
Fantom Flare;1,000;0;0;0;0
FantomenK;1,000;0;0;0;0
FantOsy FX;1,000;0;0;0;0
Fantsize;1,000;0;0;1;35000
FANY GAMES;1,000;0;0;1;10000
fap girls;7,000;0;0;0;0
Fap Latte Games;1,000;0;0;0;0
Faphood;1,000;0;0;0;0
FAPTEAM;2,000;0;0;0;0
faptori;1,000;0;0;0;0
Far East military Co.;2,000;1;10000;1;10000
Far East Studio;2,000;0;0;0;0
Far East War Development Team;2,000;0;0;0;0
Far Few Giants;12,000;6;300000;0;0
Far From Home;3,000;1;150000;1;150000
Far Mills;6,000;0;0;5;30000
Far Mills Game Studio;2,000;0;0;2;10000
Far North Entertainment;1,000;0;0;0;0
Far Out Games;1,000;0;0;0;0
Far Road Games;1,000;1;75000;1;75000
Far side of North Studio;1,000;1;35000;1;35000
Far Star Studio;2,000;0;0;0;0
Far-Bear;1,000;0;0;0;0
Far-Flung Games;2,000;0;0;1;10000
Far-off Daydream Games;2,000;0;0;0;0
Faraaz Jan;1,000;0;0;0;0
Farathan Studio;1,000;0;0;0;0
Faravid Interactive;4,000;0;0;2;150000
FarBox Games;1,000;0;0;1;10000
Farbs;1,000;1;35000;1;35000
Farbspiel Interactive;2,000;0;0;0;0
Farbworks;1,000;0;0;1;350000
FarCade;2,000;1;75000;2;35000
Fardust;1,000;0;0;0;0
Fareed;1,000;0;0;1;350000
Fareed Bhagwansingh;2,000;2;10000;1;10000
Fareed Flgaming;1,000;1;350000;0;0
FareedBhagwansingh;1,000;0;0;1;35000
Farelas;2,000;2;10000;1;10000
Farewell Games;2,000;1;10000;1;10000
Farfelu;1,000;0;0;1;10000
farfromsleep;1,000;1;35000;0;0
Fargamer Studios;1,000;1;10000;1;10000
Farhan Qureshi;1,000;0;0;0;0
Faria;1,000;1;10000;1;10000
Farid Iberraken;1,000;1;10000;2;10000
Faris Knight;1,000;0;0;0;0
Faris Mohammed;1,000;1;35000;1;35000
Faritengames;1,000;1;10000;1;10000
Farjay.com;1,000;1;35000;1;35000
Farkhutdinov M;1,000;1;10000;1;10000
Farlight Games;1,000;0;0;0;0
Farlight Games Industry;6,000;3;10000;3;10000
FarmerGnome;2,000;0;0;1;150000
Farmind Studio;7,000;0;0;0;0
Farom Studio;1,000;1;35000;1;35000
FAROS FORGE;1,000;0;0;0;0
Farr Out Studio;1,000;0;0;0;0
Farrago Fiction;1,000;1;10000;1;10000
Farris & Faulds;1,000;0;0;0;0
FarrugiaSoft;1,000;1;10000;1;10000
FarSight Studios;31,000;6;150000;6;150000
FarSight Studios, Inc.;13,000;2;10000;2;10000
Farsky Interactive;4,000;3;75000;3;75000
FarSpace Studios;2,000;1;10000;1;10000
Fart, inc.;1,000;0;0;0;0
Farther Gamer;1,000;0;0;1;10000
Farther Gamer Games;1,000;1;10000;0;0
Farting Rainbow Production;3,000;0;0;0;0
Farwind Studios;1,000;0;0;0;0
Farworld Studio;1,000;0;0;0;0
FAS STUDIO;1,000;1;10000;1;10000
FAS3 Estudios S.L;1,000;1;10000;0;0
FAS3 Estudios S.L.;2,000;0;0;1;10000
Fasaria Works;2,000;1;10000;2;10000
Fascimania;3,000;2;10000;2;10000
Fase 9 Studios;1,000;1;10000;1;10000
Fasnep;1,000;1;10000;1;10000
Fasold Games;9,000;5;10000;4;10000
Fasold Publishing;1,000;0;0;0;0
FassiGames;4,000;0;0;0;0
Fast Fall Studios;1,000;1;35000;1;35000
Fast Forward Games;2,000;2;10000;2;10000
fast race game studio;1,000;0;0;0;0
fast race game studios;1,000;1;10000;0;0
fast racer;1,000;0;0;0;0
fast studio;1,000;1;10000;0;0
Fast Travel Games;17,000;10;120000;5;30000
Fast Turtle Games;1,000;1;75000;1;75000
Fast X Play;1,000;1;10000;1;10000
Fastbird Dev Studio;1,000;1;10000;1;10000
Faster Time Games Limited;4,000;1;10000;1;10000
Fastermind Games;4,000;1;10000;2;10000
FastGame;7,000;6;10000;6;10000
FastGo Group;1,000;1;10000;1;10000
FastKey Games;1,000;0;0;0;0
Fastline Simulation;21,000;0;0;0;0
FastRam Design;3,000;2;10000;1;10000
FastRolling;1,000;0;0;1;10000
Fat Alien Cat;3,000;1;10000;1;10000
Fat Alien Cat & Nomo Studio;1,000;0;0;0;0
Fat Bard;1,000;0;0;0;0
Fat Bear Society;2,000;0;0;0;0
FAT BOMB STUDIOS, LLC;5,000;3;35000;3;35000
Fat Cat games;2,000;0;0;2;10000
Fat Dog Games;2,000;0;0;0;0
Fat Duck Squad;1,000;0;0;0;0
Fat Familiar;1,000;0;0;0;0
Fat Finger Foundry;1,000;1;10000;1;10000
Fat Gem;3,000;1;10000;1;10000
Fat Loot Games;1,000;1;10000;1;10000
Fat Panda Games;2,000;0;0;1;35000
Fat Pixel Studios;1,000;0;0;0;0
Fat Pug Studio;3,000;1;10000;1;10000
Fat Raccoon;2,000;0;0;0;0
Fat Samurai;2,000;0;0;0;0
Fat Snail Studios;1,000;0;0;0;0
Fat Toad Games;1,000;0;0;0;0
Fat Walrus Games;1,000;1;10000;1;10000
Fatal Army Studios;1,000;0;0;0;0
Fatal Error Games;3,000;2;10000;2;10000
FatalCage;1,000;0;0;1;10000
FatalFox Studios LLC;3,000;0;0;0;0
Fatalitech;1,000;1;10000;1;10000
Fatanos;1,000;0;0;0;0
Fatbard;1,000;0;0;0;0
FatBardGames;1,000;0;0;0;0
Fatbot Games, s. r. o.;2,000;2;35000;2;35000
Fatcat Games;1,000;1;10000;1;10000
FatCatGames;1,000;0;0;0;0
FatCoke;2,000;1;10000;1;10000
fatderda;1,000;0;0;0;0
Fate Dragon Studio;1,000;1;350000;1;350000
Fate Game Studio;1,000;1;35000;1;35000
Fate Wizard;1,000;0;0;0;0
FaterVakin;1,000;1;10000;1;10000
Fateshift Studio;1,000;0;0;0;0
FatFaceCat;1,000;1;10000;0;0
Fatfrogg;1,000;0;0;0;0
fatherbeno;1,000;0;0;0;0
Fatherpucci1;1,000;0;0;1;10000
Fatherson Games;1,000;0;0;1;10000
Fathi Ahmad Fathi Mousa;1,000;0;0;0;0
Fathom Film Group;1,000;1;35000;0;0
FathomQuest Games;2,000;1;10000;1;10000
Fatiao发条;2,000;1;10000;1;10000
Fatih Karaatli;1,000;1;75000;1;75000
Fatih KAYA;1,000;0;0;1;10000
Fatih Mert;4,000;3;10000;3;10000
Fatih Sukru Urkmez;1,000;0;0;0;0
Fatih Turan;1,000;0;0;1;10000
Fatmir Alia;1,000;0;0;0;0
Fatmoth;2,000;1;10000;1;10000
Fatmoth Interactive;2,000;1;10000;1;10000
Fatnicko;1,000;1;10000;1;10000
FatNinjaDev;1,000;0;0;0;0
Faton;4,000;2;350000;2;350000
FatRodzianko;5,000;0;0;0;0
Fatshark;79,000;12;820000;10;1010000
FatSheepStudio;1,000;1;10000;1;10000
Fatsou;7,000;7;0;7;0
Faucet Software;1,000;1;10000;1;10000
Faultline Games;1,000;0;0;1;35000
Faust;1,000;0;0;1;10000
Faux Studios;2,000;0;0;0;0
Faux-Operative Games;3,000;0;0;1;10000
Favorite;4,000;0;0;3;10000
Favour Toys B.V.;1,000;1;10000;1;10000
Favour Toys Studios;5,000;3;10000;0;0
Favour Toys Studios B.V.;5,000;1;10000;0;0
Fawkes;1,000;0;0;0;0
Fawncy Games;1,000;1;10000;1;10000
FawnGame;3,000;3;75000;0;0
Faws;1,000;0;0;0;0
FAXCORPunlimited;3,000;1;10000;1;10000
faxdoc;1,000;0;0;0;0
Faxdoc and nostalgiatree games;1,000;1;10000;2;10000
faxdoc, happysquared, sunnydaze;2,000;0;0;1;35000
Faye Strawberry;1,000;1;10000;1;10000
FAYEMI;2,000;0;0;0;0
FAYEZ ALRASHEEDI;1,000;0;0;1;10000
Fayju;2,000;2;150000;2;150000
Fazan;2,000;1;35000;2;35000
Fazedor De Jogos;2,000;0;0;0;0
Fazerdoo;1,000;0;0;0;0
Fazerdoo's studio;2,000;1;10000;1;10000
FAZIC Games;1,000;1;10000;1;10000
Fazz Brothers;2,000;1;10000;1;10000
Fazzle;1,000;1;10000;1;10000
FBGames;1,000;0;0;0;0
FC Maker;5,000;5;50000;5;50000
FCare;1,000;0;0;0;0
FCG;1,000;0;0;1;150000
FCgames15;1,000;1;10000;1;10000
FCOM;1,000;0;0;0;0
FDCell;1,000;0;0;0;0
FDD Studio;1,000;1;35000;1;35000
FDDDD GAME;1,000;0;0;0;0
FDEnt;1,000;0;0;0;0
FDG Entertainment;6,000;4;110000;0;0
fdm-person;2,000;0;0;0;0
FDRAGONS;4,000;2;10000;0;0
Fear Games;1,000;1;10000;1;10000
Fear of Corn;3,000;0;0;1;10000
FearBox Studios;1,000;1;10000;0;0
Feardemic;24,000;8;20000;1;35000
Fearem;1,000;0;0;1;35000
Fearless Colossus;1,000;1;10000;1;10000
Fearless Donut;2,000;1;10000;1;10000
FearScape Entertainment;1,000;1;10000;1;10000
Feas;6,000;1;10000;2;10000
Feather;2,000;1;10000;1;10000
Featherbox Studio;1,000;0;0;0;0
FeatherFan;1,000;1;10000;1;10000
Featherfin;1,000;0;0;0;0
Feathery Eagle;1,000;0;0;0;0
featuring: Brian Manown;1,000;0;0;0;0
featuring: Jordan Mallory-Skinner;1,000;0;0;0;0
February scissors;2,000;0;0;1;10000
fedDev;2,000;0;0;1;10000
FedeG's Games;3,000;0;0;0;0
Federico;1,000;0;0;0;0
Federico Della Bona;1,000;0;0;0;0
Federico Figone;2,000;0;0;0;0
Federico Jimenez;1,000;0;0;1;10000
Federico ponzio;1,000;0;0;0;0
Federico Schliemann;1,000;1;35000;1;35000
Federico Serafini;2,000;1;10000;1;10000
Fedor Iko;6,000;6;0;6;0
Fedor Votrin;1,000;1;10000;1;10000
Fedora Collective;1,000;1;10000;1;10000
Fedorov Ilya & Andrew Konovalov;1,000;1;35000;1;35000
